iso3,year,agri_land_pct,forest_pct
ZAF,2000,80.888474886447,14.6552110725503
ZAF,2001,80.796148678169,14.6252050548599
ZAF,2002,80.8085137953491,14.5951990371695
ZAF,2003,80.7260796808151,14.5651930194792
ZAF,2004,80.4622905143064,14.5351870017888
ZAF,2005,80.359247871139,14.5051809840985
ZAF,2006,79.8687648896619,14.4751749664081
ZAF,2007,79.8704135719526,14.4451689487177
ZAF,2008,80.0501199416366,14.4151629310274
ZAF,2009,79.9511990041959,14.385156913337
ZAF,2010,79.871237913098,14.3551508956467
ZAF,2011,79.4450535409574,14.3251448779563
ZAF,2012,79.4178502831612,14.2951388602659
ZAF,2013,79.4178502831612,14.2651328425756
ZAF,2014,79.4178502831612,14.2351268248852
ZAF,2015,79.4178502831612,14.2051208071948
ZAF,2016,79.4178502831612,14.1751147895045
ZAF,2017,79.4178502831612,14.1451087718141
ZAF,2018,79.4178502831612,14.1151027541238
ZAF,2019,79.4178502831612,14.0850967364334
ZAF,2020,79.4178502831612,14.055090718743
ZAF,2021,79.4178502831612,14.0250847010527
ZAF,2022,79.4178502831612,13.9950786833623
ZAF,2023,79.4178502831612,13.965072665672
