iso3,year,agri_land_pct,forest_pct
IND,2000,60.8689656564162,22.7334950003195
IND,2001,60.7048321836142,22.7975675957473
IND,2002,60.7293849367178,22.8616401911751
IND,2003,60.6247834817149,22.9257127866029
IND,2004,60.6671622062499,22.9897853820307
IND,2005,60.5834137744308,23.0538579774586
IND,2006,60.5094191760365,23.1179305728864
IND,2007,60.4132261981239,23.1820031683142
IND,2008,60.4593046525785,23.246075763742
IND,2009,60.5639061075814,23.3101483591698
IND,2010,60.3974182611942,23.3742209545976
IND,2011,60.4300431523044,23.4638216864714
IND,2012,60.4206256579633,23.5534224183453
IND,2013,60.4394606466455,23.6430231502191
IND,2014,60.4495508191538,23.732623882093
IND,2015,60.4317248477225,23.8222246139668
IND,2016,60.3990999566123,23.9116908102072
IND,2017,60.2840719900175,24.0014933455312
IND,2018,60.2437112999842,24.0909595417716
IND,2019,60.2198312250478,24.1807620770956
IND,2020,60.0459439188212,24.270228273336
IND,2021,60.0507647678083,24.3596944695764
IND,2022,60.0555856504293,24.4494970049005
IND,2023,60.0604064994165,24.5390304689576
