iso3,year,agri_land_pct,forest_pct,T2,phase,UCL
IND,2000,60.8689656564162,22.7334950003195,3.543026566938652,Phase I,10.318775100833333
IND,2001,60.7048321836142,22.7975675957473,1.7221943133405562,Phase I,10.318775100833333
IND,2002,60.7293849367178,22.8616401911751,0.9170883049411889,Phase I,10.318775100833333
IND,2003,60.6247834817149,22.9257127866029,0.6776435980719328,Phase I,10.318775100833333
IND,2004,60.6671622062499,22.9897853820307,0.30892442216507393,Phase I,10.318775100833333
IND,2005,60.5834137744308,23.0538579774586,0.014603085442693219,Phase I,10.318775100833333
IND,2006,60.5094191760365,23.1179305728864,0.43195423016719264,Phase I,10.318775100833333
IND,2007,60.4132261981239,23.1820031683142,2.13223806872147,Phase I,10.318775100833333
IND,2008,60.4593046525785,23.246075763742,0.8965106231902462,Phase I,10.318775100833333
IND,2009,60.5639061075814,23.3101483591698,3.8938699208320786,Phase I,10.318775100833333
IND,2010,60.3974182611942,23.3742209545976,2.310874122158711,Phase I,10.318775100833333
IND,2011,60.4300431523044,23.4638216864714,4.778578239988477,Phase II,10.318775100833333
IND,2012,60.4206256579633,23.5534224183453,8.02282414969439,Phase II,10.318775100833333
IND,2013,60.4394606466455,23.6430231502191,13.888027392340915,Phase II,10.318775100833333
IND,2014,60.4495508191538,23.732623882093,21.0394967818592,Phase II,10.318775100833333
IND,2015,60.4317248477225,23.8222246139668,27.06443024564638,Phase II,10.318775100833333
IND,2016,60.3990999566123,23.9116908102072,32.29885809386816,Phase II,10.318775100833333
IND,2017,60.2840719900175,24.0014933455312,30.272581965012947,Phase II,10.318775100833333
IND,2018,60.2437112999842,24.0909595417716,35.28432571533821,Phase II,10.318775100833333
IND,2019,60.2198312250478,24.1807620770956,42.25378624628403,Phase II,10.318775100833333
IND,2020,60.0459439188212,24.270228273336,37.88799378081403,Phase II,10.318775100833333
IND,2021,60.0507647678083,24.3596944695764,46.66413496437792,Phase II,10.318775100833333
IND,2022,60.0555856504293,24.4494970049005,56.91493134937605,Phase II,10.318775100833333
IND,2023,60.0604064994165,24.5390304689576,68.57549555872845,Phase II,10.318775100833333
BRA,2000,27.3175012622426,65.9343586013156,2.3893784536305356,Phase I,10.318775100833333
BRA,2001,27.3299083288866,65.4616708980706,1.5115458030355107,Phase I,10.318775100833333
BRA,2002,27.3423153955306,64.9889831948257,0.8406108961991158,Phase I,10.318775100833333
BRA,2003,27.3547224621746,64.5162954915806,0.37657373312094455,Phase I,10.318775100833333
BRA,2004,27.3671295288186,64.0436077883357,0.11943431380140976,Phase I,10.318775100833333
BRA,2005,27.3795365954626,63.5709200850907,0.06919263824029484,Phase I,10.318775100833333
BRA,2006,27.3925777744809,63.0982323818457,0.22405251540889903,Phase I,10.318775100833333
BRA,2007,27.4788170573836,62.6255446786007,0.403412073925977,Phase I,10.318775100833333
BRA,2008,27.5650563402862,62.1528569753558,0.8391313392338495,Phase I,10.318775100833333
BRA,2009,27.6512956231889,61.6801692721108,1.5312103113326014,Phase I,10.318775100833333
BRA,2010,27.7375349060916,61.2074815688658,2.4796489902222723,Phase I,10.318775100833333
BRA,2011,27.8237741889942,61.023328156743,3.149330107091962,Phase II,10.318775100833333
BRA,2012,27.9100134718969,60.8391747446202,4.00217043631701,Phase II,10.318775100833333
BRA,2013,27.9962527547995,60.6550213324974,5.038169977896193,Phase II,10.318775100833333
BRA,2014,28.0824920377022,60.4708679203746,6.2573287318311674,Phase II,10.318775100833333
BRA,2015,28.168707391836,60.2867384370207,7.6592760898759416,Phase II,10.318775100833333
BRA,2016,28.2549706035075,60.0710205859198,9.29589095047249,Phase II,10.318775100833333
BRA,2017,28.3411141713348,59.8329293359527,11.150090674161325,Phase II,10.318775100833333
BRA,2018,28.338218790305,59.7083800941358,11.313703686941391,Phase II,10.318775100833333
BRA,2019,28.3353473380441,59.5585860011916,11.544904486499558,Phase II,10.318775100833333
BRA,2020,28.3324758857832,59.4174780513368,11.78332314806839,Phase II,10.318775100833333
BRA,2021,28.3296044335223,59.2704836243471,12.05793864760465,Phase II,10.318775100833333
BRA,2022,28.3267329812614,59.1275092305226,12.347488973643246,Phase II,10.318775100833333
BRA,2023,28.3267329812614,58.9818729765235,12.711613148480517,Phase II,10.318775100833333
ZAF,2000,80.888474886447,14.6552110725503,1.9326307508082392,Phase I,10.318775100833333
ZAF,2001,80.796148678169,14.6252050548599,1.305334042351119,Phase I,10.318775100833333
ZAF,2002,80.8085137953491,14.5951990371695,1.3201234732893934,Phase I,10.318775100833333
ZAF,2003,80.7260796808151,14.5651930194792,0.980097912607165,Phase I,10.318775100833333
ZAF,2004,80.4622905143064,14.5351870017888,0.09792561305376526,Phase I,10.318775100833333
ZAF,2005,80.359247871139,14.5051809840985,0.00962819433170122,Phase I,10.318775100833333
ZAF,2006,79.8687648896619,14.4751749664081,1.985325055366289,Phase I,10.318775100833333
ZAF,2007,79.8704135719526,14.4451689487177,1.454824786263789,Phase I,10.318775100833333
ZAF,2008,80.0501199416366,14.4151629310274,0.599825707236342,Phase I,10.318775100833333
ZAF,2009,79.9511990041959,14.385156913337,1.074399567004637,Phase I,10.318775100833333
ZAF,2010,79.871237913098,14.3551508956467,1.6495504165624455,Phase I,10.318775100833333
ZAF,2011,79.4450535409574,14.3251448779563,4.514892720105637,Phase II,10.318775100833333
ZAF,2012,79.4178502831612,14.2951388602659,4.821532273891546,Phase II,10.318775100833333
ZAF,2013,79.4178502831612,14.2651328425756,5.1157899086619265,Phase II,10.318775100833333
