iso3,year,agri_land_pct,forest_pct
BRA,2000,27.3175012622426,65.9343586013156
BRA,2001,27.3299083288866,65.4616708980706
BRA,2002,27.3423153955306,64.9889831948257
BRA,2003,27.3547224621746,64.5162954915806
BRA,2004,27.3671295288186,64.0436077883357
BRA,2005,27.3795365954626,63.5709200850907
BRA,2006,27.3925777744809,63.0982323818457
BRA,2007,27.4788170573836,62.6255446786007
BRA,2008,27.5650563402862,62.1528569753558
BRA,2009,27.6512956231889,61.6801692721108
BRA,2010,27.7375349060916,61.2074815688658
BRA,2011,27.8237741889942,61.023328156743
BRA,2012,27.9100134718969,60.8391747446202
BRA,2013,27.9962527547995,60.6550213324974
BRA,2014,28.0824920377022,60.4708679203746
BRA,2015,28.168707391836,60.2867384370207
BRA,2016,28.2549706035075,60.0710205859198
BRA,2017,28.3411141713348,59.8329293359527
BRA,2018,28.338218790305,59.7083800941358
BRA,2019,28.3353473380441,59.5585860011916
BRA,2020,28.3324758857832,59.4174780513368
BRA,2021,28.3296044335223,59.2704836243471
BRA,2022,28.3267329812614,59.1275092305226
BRA,2023,28.3267329812614,58.9818729765235
