iso3,year,agri_land_pct,forest_pct
BRA,2000,27.3175012622426,65.9343586013156
BRA,2001,27.3299083288866,65.4616708980706
BRA,2002,27.3423153955306,64.9889831948257
BRA,2003,27.3547224621746,64.5162954915806
BRA,2004,27.3671295288186,64.0436077883357
BRA,2005,27.3795365954626,63.5709200850907
BRA,2006,27.3925777744809,63.0982323818457
BRA,2007,27.4788170573836,62.6255446786007
BRA,2008,27.5650563402862,62.1528569753558
BRA,2009,27.6512956231889,61.6801692721108
BRA,2010,27.7375349060916,61.2074815688658
BRA,2011,27.8237741889942,61.023328156743
BRA,2012,27.9100134718969,60.8391747446202
BRA,2013,27.9962527547995,60.6550213324974
BRA,2014,28.0824920377022,60.4708679203746
BRA,2015,28.168707391836,60.2867384370207
BRA,2016,28.2549706035075,60.0710205859198
BRA,2017,28.3411141713348,59.8329293359527
BRA,2018,28.338218790305,59.7083800941358
BRA,2019,28.3353473380441,59.5585860011916
BRA,2020,28.3324758857832,59.4174780513368
BRA,2021,28.3296044335223,59.2704836243471
BRA,2022,28.3267329812614,59.1275092305226
BRA,2023,28.3267329812614,58.9818729765235
IND,2000,60.8689656564162,22.7334950003195
IND,2001,60.7048321836142,22.7975675957473
IND,2002,60.7293849367178,22.8616401911751
IND,2003,60.6247834817149,22.9257127866029
IND,2004,60.6671622062499,22.9897853820307
IND,2005,60.5834137744308,23.0538579774586
IND,2006,60.5094191760365,23.1179305728864
IND,2007,60.4132261981239,23.1820031683142
IND,2008,60.4593046525785,23.246075763742
IND,2009,60.5639061075814,23.3101483591698
IND,2010,60.3974182611942,23.3742209545976
IND,2011,60.4300431523044,23.4638216864714
IND,2012,60.4206256579633,23.5534224183453
IND,2013,60.4394606466455,23.6430231502191
IND,2014,60.4495508191538,23.732623882093
IND,2015,60.4317248477225,23.8222246139668
IND,2016,60.3990999566123,23.9116908102072
IND,2017,60.2840719900175,24.0014933455312
IND,2018,60.2437112999842,24.0909595417716
IND,2019,60.2198312250478,24.1807620770956
IND,2020,60.0459439188212,24.270228273336
IND,2021,60.0507647678083,24.3596944695764
IND,2022,60.0555856504293,24.4494970049005
IND,2023,60.0604064994165,24.5390304689576
ZAF,2000,80.888474886447,14.6552110725503
ZAF,2001,80.796148678169,14.6252050548599
ZAF,2002,80.8085137953491,14.5951990371695
ZAF,2003,80.7260796808151,14.5651930194792
ZAF,2004,80.4622905143064,14.5351870017888
ZAF,2005,80.359247871139,14.5051809840985
ZAF,2006,79.8687648896619,14.4751749664081
ZAF,2007,79.8704135719526,14.4451689487177
ZAF,2008,80.0501199416366,14.4151629310274
ZAF,2009,79.9511990041959,14.385156913337
ZAF,2010,79.871237913098,14.3551508956467
ZAF,2011,79.4450535409574,14.3251448779563
ZAF,2012,79.4178502831612,14.2951388602659
ZAF,2013,79.4178502831612,14.2651328425756
ZAF,2014,79.4178502831612,14.2351268248852
ZAF,2015,79.4178502831612,14.2051208071948
ZAF,2016,79.4178502831612,14.1751147895045
ZAF,2017,79.4178502831612,14.1451087718141
ZAF,2018,79.4178502831612,14.1151027541238
ZAF,2019,79.4178502831612,14.0850967364334
ZAF,2020,79.4178502831612,14.055090718743
ZAF,2021,79.4178502831612,14.0250847010527
ZAF,2022,79.4178502831612,13.9950786833623
ZAF,2023,79.4178502831612,13.965072665672
